collection_name,type,place_name,korean_name,kakao_place_id,lat,lng,why_visit,best_time,time_needed,tips,next_spot,status
Best Night Views in Seoul,spots,Banpo Hangang Park,반포한강공원,8142957,37.51082,126.99716,,,,,,draft
Best Night Views in Seoul,spots,Nodeul Island,노들섬,8252248,37.51766,126.95803,,,,,,draft
Best Night Views in Seoul,spots,Seoul Sky,서울스카이,680691609,37.51251,127.10244,,,,,,draft
Best Night Views in Seoul,spots,Eungbongsan,응봉산,10666639,37.54825,127.02983,,,,,,draft
